ITEM,Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Anio,Mes,Contrato,Campo,TipoProd,TipoHidrocarburo,PrecioHidrocarburoUSD,PorcRegalia,ProdGravableBlsKpc,VolumenRegaliaBlsKpc,RegaliasCOP,TrmPromedio,RegimenReg
1,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,NARE,NARE SUR,B,O,36.4149,0.2,5559.31,1111.862,128153299.64,3165.19,Ley 141 20%
2,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,NARE,UNDERRIVER,P,O,36.2169,0.06,37348.21,2240.8926,256881069.74,3165.19,Ley 756 8% variable
3,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.3084,0.2,2265.93,453.186,6180054.1,3165.19,Ley 141 20%
4,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.3084,0.12,2265.93,271.9116,3708032.54,3165.19,ARTICULO 39 LEY 756
5,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,44.4794,0.2,18469.21,3693.842,520040323.4,3165.19,Ley 141 20%
6,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,44.4794,0.12,18469.21,2216.3052,312024194.43,3165.19,ARTICULO 39 LEY 756
7,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,44.4794,0.06,12231.37,733.8822,103320157.32,3165.19,Ley 756 8% variable
8,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.3084,0.2,702.61,140.522,1916284.87,3165.19,Ley 141 20%
9,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.3084,0.12,702.61,84.3132,1149771.06,3165.19,ARTICULO 39 LEY 756
10,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,NARE,NARE SUR,B,O,39.0563,0.2,5853.29,1170.658,142461096.52,3115.84,Ley 141 20%
11,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,NARE,UNDERRIVER,P,O,38.7603,0.06,33725.74,2023.5444,244385264.46,3115.84,Ley 756 8% variable
12,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.893,0.2,1743.26,348.652,4229136.33,3115.84,Ley 141 20%
13,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.893,0.12,1743.26,209.1912,2537481.96,3115.84,ARTICULO 39 LEY 756
14,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,46.9758,0.2,16455.21,3291.042,481706778.48,3115.84,Ley 141 20%
15,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,46.9758,0.12,16455.21,1974.6252,289024067.3,3115.84,ARTICULO 39 LEY 756
16,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,46.9758,0.06,11185.54,671.1324,98233029.61,3115.84,Ley 756 8% variable
17,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.893,0.2,689.13,137.826,1671824.51,3115.84,Ley 141 20%
18,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.893,0.12,689.13,82.6956,1003094.74,3115.84,ARTICULO 39 LEY 756
19,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,3,NARE,NARE SUR,B,O,46.499,0.2,7488.08,1497.616,217873910.82,3128.68,Ley 141 20%
20,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,3,NARE,UNDERRIVER,P,O,46.403,0.06,34302.15,2058.129,298799452.12,3128.68,Ley 756 8% variable
21,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.5656,0.2,1795.58,359.116,4006162.11,3128.68,Ley 141 20%
22,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,3.5656,0.12,1795.58,215.4696,2403697.28,3128.68,ARTICULO 39 LEY 756
23,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,54.4587,0.2,18178.93,3635.786,619479199.34,3128.68,Ley 141 20%
24,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2019,3,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,54.4587,0.12,18178.93,2181.4716,371687520.09,3128.68,ARTICULO 39 LEY 756
